ad_id,image_path,text,dimensions,Click-through(CTR),Cost per Click(CPC),Return on Ad Spend(ROAS),Conversion(Value less than CTR),Purchase_Conversion_rate,ClassLabel_final
59.00,image_59,"Q
Quest
Diagnostics
For you. For them.
Together for a healthier Texas.
Learn more ▸
Quest Diagnostics supports Public Radio in Texas for Texans.","(300, 250)",43,0.531018932,9.897255871,15,6,bikini
60.00,image_60,"pick
of the
litter
Find your perfect match >","(970, 90)",29,0.918124926,2.306285607,4,1,chime
61.00,image_61,"WILSON ANTIQUES
ANTIQUES
Two Great Locations!","(300, 250)",46,0.87507349,0.202122847,14,3,web_site
62.00,image_62,"GOAL
ON You Tube
SUBSCRIBE NOW","(300, 250)",23,0.220225847,9.326585814,6,1,street_sign
63.00,image_63,"chrome OS
Reach new speeds
of productivity.
High-performance devices
that boot up fast and don't
slow down over time
Learn more","(300, 600)",39,0.234599687,6.920490916,8,0,web_site
64.00,image_64,"ALL NEW
DUSK 19
AVAILABLE NOW!
LONE
WOLF","(300, 250)",50,0.97738787,9.903751765,15,5,monitor
65.00,image_65,"June
UP TO 50% OFF
SHOP NOW","(300, 250)",77,0.929687277,8.9555654,20,4,trench_coat
66.00,image_66,"WERUVA
All natural
Ingredients
you can see.","(970, 250)",29,0.812996161,0.138669325,9,1,shower_curtain
67.00,image_67,"sal slickdeals
Score Big
Savings
Get coupons at your favorite stores
GET THE EXTENSION
BEST
BUY
★macy's
O
Walmart
adidas","(300, 600)",47,0.580171543,9.697636389,12,2,web_site
68.00,image_68,"KIDS
WEEK
4YRS-
3RD-
2ND GRADE 5TH GRADE Cascade Hills
JUNE 19-23
JUNE 26-30
CASCADEHILLS.COM/KIDS-WEEK","(728, 90)",27,0.02875228,0.363793606,11,1,plate_rack
69.00,image_69,"MSI CREATOR
ACADEMY
ONLINE WORKSHOP
with Rio Purba &
Christiawan Lie
Sabtu, 20 November 2021
14.00 - 16.30 WIB
JOIN NOW!","(300, 250)",6,0.65101414,1.650528352,1,0,comic_book
70.00,image_70,"Donate today
to
FIRST
THINGS
Your financial support allows
us to be the voice of truth.","(300, 250)",84,0.775777281,7.731593021,19,3,web_site
71.00,image_71,"WHITE
LABS
PURE YEAST & FERMENTATION
WHITE
LARS
PUREPITCH
NEXT GENERATION","(728, 90)",7,0.810328481,6.213555234,3,1,container_ship
72.00,image_72,"S SENTARA
You deserve
THE BEST
We're commited to safe
in-person mammography
care. Appointments
available now.
SCHEDULE NOW
You're
safe
at Sentara","(300, 250)",2,0.796028818,7.989603276,0,0,web_site
73.00,image_73,"Jason Isbell
MY FREE
SPEECH
allows me to sing and
say whatever I believe.
www.1forall.today","(300, 250)",4,0.933430841,6.078184491,0,0,electric_guitar
74.00,image_74,"Analytical SFC
As Easy As LC
• LC/SFC switching capability
• Small footprint
Automated
method
scouting
Learn More. Click here. SHIMADZU","(300, 250)",43,0.658774814,0.647635942,11,4,web_site
75.00,image_75,"Try Before You Buy
Borrow products from our
$3,000,000 Audiophile Lending Library
and hear the difference the right cables make
in your system.
Featuring high-end cables,
power cords & more!
CABLE
COMPANY","(336, 280)",32,0.920712679,7.218121786,6,2,web_site
76.00,image_76,"Wave
2022
EARLY BIRD PRICING Aprill 18-22, 2022 | Austin, TX
ENDS DECEMBER 17
eso
SAVE NOW
M","(320, 50)",98,0.977042785,3.011173915,19,6,container_ship
77.00,image_77,"Look Who's Back!!!
3 Fan Favorites are Back in Stock.
A
Pemin
NE
Pomic
Fote
SHOP NOW","(320, 50)",15,0.9705866,3.589355567,2,0,ballpoint
78.00,image_78,"L
Gummer
CHALLENGE
JUNE 1-AUGUST 15
Sign up at any Library location.
Supper provided by
Dana Brown
CHARITABLE TRUST
St. Louis Pablo Library
ST. LOUIS
PUBLIC
LIBRARY
CLICK HERE","(300, 250)",63,0.630526597,7.282736111,11,4,comic_book
79.00,image_79,"HYPERSOFT SNEAKERS
Your Feet Need
Hypersoft.
GET 70% OFF
en.gethypersoft.com","(300, 600)",48,0.191813513,3.098463,14,2,sock
80.00,image_80,"CARMPIONS
BOXING
IBO
UNIFIED AND IBO WORLD
HEAVYWEIGHT CHAMPION
OLEKSANDR USYK","(728, 90)",75,0.289940766,9.102393118,15,4,bow
81.00,image_81,"Movies, Music, Games,
Audiobooks & More...
1. Click on ""Start""
2. Activate your account
3. Access your content
CONTINUE
Watch Apps","(728, 90)",41,0.146823861,0.936792597,7,0,envelope
82.00,image_82,"HISTORIC HEART. MODERN BEAT.
""IF I CAN DO IT,
CAN
YOU DO IT.""
-W.C., A GED GRADUATE","(728, 90)",13,0.339952461,5.619605476,4,0,book_jacket
83.00,image_83,"thedallasopera™
A FRESH NEW TAKE ON MOZART'S ROMANTIC COMEDY!
MOZART
COSÌ FAN TUTTE
MARCH 24 - APRIL 1","(970, 250)",37,0.7768101,8.009143879,11,1,menu
84.00,image_84,"Protect Your
Online Financial
Activity
Startpage
Search Privately","(300, 250)",70,0.384897604,7.519635325,17,4,web_site
85.00,image_85,"Helios
Education Foundation
Partnerships
That Drive
Equity
MENT
MORE INFORMATION","(300, 250)",35,0.214016598,9.126648113,10,1,jean
86.00,image_86,"Genuine Leather
GUALAPTAR
O
Banggood","(300, 600)",96,0.157026933,6.861381866,26,7,Loafer
87.00,image_87,"misterb&b
Luca
Host in Rome
Welcome the largest
LGBTQ+ travel community","(300, 250)",10,0.307369317,6.606446864,2,1,web_site
88.00,image_88,"A short walk goes
long way for
your health
It's just one more way
that your dog improves
your life.
NI","(300, 600)",11,0.574203109,0.74914967,1,0,Chihuahua
89.00,image_89,"TODAY'S
REFINANCE
RATE
15-Year Fixed Term
2.01%
No SSN Required
30-Year Fixed Term
2.42%*
Calculate
Payment
MORTGAGE.NET
*Terms & conditions apply.
NMLS #1912050 (nmisconsumeraccess.org)
1834","(160, 600)",34,0.7885408,7.188079963,6,1,web_site
90.00,image_90,"HERO
WARS
TRY NOW","(300, 250)",91,0.314865524,1.440891181,18,6,comic_book
91.00,image_91,"Onextpit
Find your Job→→→
A
Adobe
HIRING NOW!","(970, 250)",11,0.104506456,2.351975734,3,0,web_site
92.00,image_92,"chewy
FLASH
DEALS
Snag today's
deal on the
perfect gift.
Shop Now
O
howy
lovers sh.
wher","(300, 250)",9,0.836215398,9.216034767,3,1,carton
93.00,image_93,"You deserve it.
AVENUE
AVENUE
COFFEE
Click here to order now","(300, 250)",24,0.51620179,1.233868603,3,1,coffee_mug
94.00,image_94,"Treals & Theatres
Stop in to
Browse & Shop!","(728, 90)",1,0.563452109,7.099115315,1,0,chime
95.00,image_95,"GET
FREE GOLD
WHEN YOU OPEN A
GOLD IRA
D STATES OF AMERIC
UNITGL
WATE
GET FREE GOLD >>>
APM
G","(300, 250)",78,0.334450305,9.6629924,24,7,cowboy_hat
96.00,image_96,"Coupon Codes Found
The coupon-finding browser extension
Cape Shopping
You saved $45
automatically!
WELCOME 10
Unlock FREE
Coupons
Savings may vary. Savings found on 04/20/23.","(728, 90)",18,0.148768851,3.544238989,4,0,perfume
97.00,image_97,"What puts a smile on your face?
The peace of mind in having a plan from HomeServe.
Learn More
HomeServe","(728, 90)",5,0.022845323,6.233800078,1,0,toaster
98.00,image_98,"F
SAKA
loro
MOCK DRAFT
SIMULATOR
YOU'RE ON THE CLOCK","(300, 250)",16,0.980723966,3.503232884,5,3,football_helmet
99.00,image_99,"SARTE
Caitl
MOBILE
ORDER
ON THE
GO
EATS
P
PENN STATE GO","(300, 250)",39,0.102301313,4.285866009,9,2,toilet_tissue
100.00,image_100,"The Butler
Institute
OF AMERICAN ART
EXHIBITIONS, ART LECTURES, FAMILY EVENTS, MUSIC,
MEMBER PERKS, WEDDINGS, MEET THE ARTIST EVENTS
ADMISSION IS FREE AND ART IS FOR EVERYONE","(728, 90)",36,0.89655985,8.11421261,8,1,container_ship
101.00,image_101,"THE MEADOWS
AT CANTON
16.9%* TARGET IRR
11.3% * TARGET CASH ON CASH RETURN
ACCESS DEAL
SPONSORED
BY THE GSH
GROUP
REALTYMOGUL'","(728, 90)",64,0.326466039,5.361833377,18,4,sliding_door
102.00,image_102,"Capital One Shopping
COUPON CODES
I
AVAILABLE
GET CODES
The Coupon-Finding
Browser Extension
1
I
I
1","(336, 280)",7,0.086444071,5.263825796,1,0,web_site
103.00,image_103,"FISHER INVESTMENTS
When to Retire: A Guide for Investors With $500k+
Learn More","(728, 90)",42,0.29778322,7.002589611,6,1,slide_rule
104.00,image_104,"VOLVO
Get a limited-time offer
on a Volvo XC90
Mild-Hybrid today.
LEARN MORE","(300, 600)",45,0.972734095,9.841008657,12,5,beach_wagon
105.00,image_105,"DAYS THAT
DELIGHT
Bring the Fam
visit
detroit","(320, 50)",27,0.166836397,3.117271581,9,2,ski
106.00,image_106,"DALLAS
MUSEUM
OF ART
FRIDAYS
al FRESCO
OUR PATIO
IS OPEN
FRIDAYS, 4:30-8:30PM
DMA Patio on Eagle Family Plaza
Enjoy drinks, food,
games, and music!
DALLAS MUSEUM OF ART
dma.org","(300, 600)",47,0.018259697,0.038882159,13,4,comic_book
107.00,image_107,"PAVILION™
Pavilion Tankless.com
Hot Water and Heating Products for ALL Your Comfort Needs!
B
Pail.com
A PB Heat, LLC
brand","(728, 90)",45,0.103202657,6.461601137,8,2,rule
108.00,image_108,"Be it where you're
going or on the road,
ViaMichelin
has all the hotels
at the best prices.
See more
MICHELIN VIAMICHELIN
C
**
***","(300, 250)",20,0.337441376,8.952438997,6,0,bolo_tie
109.00,image_109,"*PokerAtlas $1,000,000+
TOUR MAY 18-30
TEXAS CARD HOUSE
-HOUSTON-","(320, 50)",21,0.242539576,5.822184924,8,2,cleaver
110.00,image_110,"SAVE
20%
AASHLEY
FURNITURE
ON
ALL
0% INTEREST
FOR 24 MONTHS*
MIN PURCHASE $1499
NOSALES TAX!
SHOP NOW","(160, 600)",43,0.283004629,4.811696336,10,2,web_site
111.00,image_111,"TO20%
SAVE UP TO
ETHAN ALLEN
Reno
9065 S. VIRGINIA ST.
*Exclusions apply","(728, 90)",21,0.752469094,2.461524177,6,0,chime
112.00,image_112,"ALMAC
Almac Pharma Services
Tailor-made Solutions
you can rely on
Find out more
ALMAC","(970, 250)",65,0.415786761,6.585029751,15,5,barrel
113.00,image_113,"LoanBack
smarter friend & family lending
Live Loan Counter
Personal loans formalized through LoanBack
$1,790,581,228
and counting
Join the tens of thousands who trust LoanBack","(300, 250)",24,0.017188074,0.773441252,5,1,web_site
114.00,image_114,"DAGMAR
MIDCAP
SHEENA
PARVEEN
ANA, CRISTINA
SANCHEZ
ILL.
SAN DIEGO'S MOST ACCURATE
FORECAST IN 2 LANGUAGES
FIRST ALERT WEATHER
LA
1.20 EN EL TIEMPO","(970, 250)",26,0.410626085,0.874232861,9,4,butcher_shop
115.00,image_115,"ZOLUCKY
Soft.clouds
FREE
SHIPPING
SHOP NOW","(300, 600)",87,0.215940637,8.423450738,19,2,jean
116.00,image_116,Texas MBA,"(300, 250)",32,0.584646983,0.52370491,4,2,spider_web
117.00,image_117,"Start
3 Easy Steps:
1: Click ""Start""
2: Download Shopping Extension
3: Apply Coupon Codes!
Capital One
Shopping","(728, 90)",8,0.236798987,3.594382674,2,0,sweatshirt
118.00,image_118,"the NEWS
UNLIMITED ACCESS TO EVERYTHING
WE OFFER AT ACHRNEWS.COM
FOR AS LOW AS $3.33/MONTH
SUBSCRIBE TODAY","(300, 250)",37,0.659786447,6.613775528,12,3,street_sign
119.00,image_119,"HERO WARS
TRY","(160, 600)",41,0.155915573,5.32844443,13,3,container_ship
120.00,image_120,"BioRebalance
Quitting drinking doesn't
have to be hard.
LEARN MORE
B
BioRebalance
D D D D D","(970, 250)",13,0.674867351,7.888653278,5,1,hair_spray
121.00,image_121,"Fred again..
Oct 16
Terminal 5
New York City
Terminal 5","(728, 90)",29,0.839308746,8.134640644,9,5,shoji
122.00,image_122,"cooltone
by coolsculpting
LEARN MORE","(160, 600)",45,0.937187494,5.231000926,13,4,web_site
123.00,image_123,"[NEWSNATION]
NEWS FOR ALL AMERICA
NEWSNATION IS A PLACE THAT
PEOPLE CAN
TRUST
WE'RE BEING STRAIGHT WITH THEM.
- DAN ABRAMS
99
TO FIND NEWSNATION
CLICK HERE","(728, 90)",41,0.061821589,6.785998221,11,2,pole
124.00,image_124,"Three Ways You Can
Make A Difference
cookies
for kids' cancer
Let's get Baking
R","(728, 90)",85,0.031914126,1.271200477,24,7,jean
125.00,image_125,"REVLON®
@lexilalamakeup
GET THE LOOK
VIRTUAL
VIXEN
CLICK HERE
THIS SUMMER
#BEVIRTUALLYYOU
REVIO
COLORSILK
A","(970, 250)",3,0.248243852,8.231975677,0,0,jean
126.00,image_126,"shutterstock
20
Save 20% sitewide
to celebrate 20 years of creativity
Use code
HAPPY20TH
Redeem now","(300, 600)",48,0.045912695,1.466165139,10,1,web_site
127.00,image_127,"10
5
pueb
theft
osie
San Andreas
FF
ang
12","(300, 600)",42,0.46031221,6.682701036,9,1,slot
128.00,image_128,"FIFTH ANNIVERSARY
OPENING NIGHT CELEBRATION
FIVE YEARS
WINDY CITY BULLS
PRESENTED BY BMO
11/17/21 $5 TICKETS
7PM
And everything else $5 or less
BULLS
5
BM","(970, 250)",36,0.971810373,4.992123308,8,0,comic_book
129.00,image_129,"CONTINUE >
1. Click Continue
2. Add Apps
3. Watch Popular TV Shows
watchsmartapps.com","(336, 280)",27,0.381109209,9.962143019,4,0,web_site
130.00,image_130,"Lansweeper
14 Days of Unlimited
IT Asset Scanning","(728, 90)",82,0.711845783,5.319740049,22,2,sweatshirt
131.00,image_131,"Secure Lowest
Prices Without
Price Trackers
Startpage
Search Privately","(300, 250)",60,0.342085705,7.407181128,20,4,web_site
132.00,image_132,"BEST Achieved the highest standards
for bariatric surgery.
HOSPITALS
WOMEN'S CHOICE AWARD
LEARN MORE
BARIATRIC
SURGERY
2023
The Center for
IM Weight Loss Surgery
AT WOOD COUNTY HOSPITAL","(728, 90)",33,0.823748497,9.481876462,11,2,web_site
133.00,image_133,"THE LIQUOR STORE
Add Old Fashioned Fun to Every
Gathering with this Curated Kit
FREE
SHIPPING
INCLUDED
GET YOURS NOW","(300, 250)",26,0.455477453,1.087326835,7,0,beaker
134.00,image_134,"of
COUPONS
AVAILABLE
Applied Automatically
At Checkout
CONTINUE →
sal slickdeals","(336, 280)",80,0.894030538,1.735539562,20,1,web_site
135.00,image_135,"FAN
ESSENTIALS
NHLSHOP.COM
A Fanatics Experience
BOOOOO
SHOP NOW
Tab","(300, 250)",5,0.279152542,0.652191954,0,0,kimono
136.00,image_136,"Head Over Heels Photo
Weddings
Family Photos
Senior Portraits
Videography
www.headoverheelsphoto.com
813.675.7140","(160, 600)",43,0.205367681,5.488586437,10,2,web_site
137.00,image_137,"ORACLE
NETSUITE
Strong CFOs
Practice
These 5
Habits
Download eBook","(300, 250)",12,0.74446647,3.283605594,4,1,web_site
138.00,image_138,"SOUT
ANNIVERSARY
GROUP BUY
UP TO 25X1
GET UP TO 25 PRODUCTS
FOR THE PRICE OF 1!
SHOP NOW
REVAT","(300, 250)",36,0.82694057,1.78013609,8,1,cinema
139.00,image_139,"Your Complete
Guide to the
Find FDA
Feed Troteoblity
Bule
DOWNLOAD YOUR GUIDE
YOUR
COMPLETE GUIDE
TO THE
FINALIZED
FDA FOOD
TRACEABILITY
RULE
SAFETYCHAIN","(300, 250)",39,0.140752445,2.957320005,11,3,web_site
140.00,image_140,"Reach out to a friend
about their mental health.
Learn more
""Want to go
for a walk?""
SEIZE THE AWKWARD
ad
Foundation
Suicide
Prevention
JED","(728, 90)",11,0.281425724,3.746170872,1,0,slide_rule
141.00,image_141,"Ja
her
vistes
The Federalist Papers
THE BEST COMMENTARY ON THE PRINCIPLES OF GOVERNMENT
START LEARNING FOR FREE","(728, 90)",61,0.63912841,5.311919222,7,2,paintbrush
